 ************************************************************************************************************************
                         Exem


data

  number of boundary elements= 80

  number of functional nodes= 84

  number of internal source points where the funct. is calculated=144




  coordinates of the source points of the boundary elements

    point          x                  y
 fi=  8.393817948177260E-002
 fi=  8.205227790565753E-002
 fi=  4.752715838056373E-002
 fi= -5.065359220270071E-003
 fi= -5.423699850073578E-002
 fi= -7.995132220514270E-002
 fi= -7.168050656275951E-002
 fi= -3.289597357286977E-002
 fi=  1.999986134748888E-002
 fi=  6.522039963430959E-002
 fi=  8.394056146048592E-002
 fi=  6.808433185168876E-002
 fi=  2.359329853981601E-002
 fi= -3.128700043012735E-002
 fi= -7.451131880764841E-002
 fi= -8.847124639492243E-002
 fi= -6.745218658253344E-002
 fi= -1.976886444227613E-002
 fi=  3.312518068626326E-002
 fi=  3.366613689749665E-002
 fi=  3.544995633208606E-002
 fi=  3.715992996274781E-002
 fi=  3.836842377998240E-002
 fi=  3.884737380172295E-002
 fi=  3.847663097474867E-002
 fi=  3.705685239024806E-002
 fi=  3.524116339045134E-002
 fi=  3.354924236155676E-002
 fi=  3.264890272390969E-002
 fi=  3.318106018358091E-002
 fi=  3.491926562687420E-002
 fi=  3.768009136087164E-002
 fi=  4.048265664688797E-002
 fi=  4.251430260063324E-002
 fi=  4.329457408243307E-002
 fi=  4.240042571406376E-002
 fi=  4.041171120639123E-002
 fi=  3.791129281004876E-002
 fi=  3.581965041748972E-002
 fi=  3.289448345425243E-002
 fi=  3.235856877902565E-002
 fi= -2.094152087419326E-002
 fi= -6.944673890775191E-002
 fi= -9.085222040880338E-002
 fi= -7.650853093295150E-002
 fi= -3.199216051075413E-002
 fi=  2.488404993163253E-002
 fi=  7.155520669398689E-002
 fi=  8.903202682746211E-002
 fi=  7.074484152915823E-002
 fi=  2.443573204849294E-002
 fi= -3.089881943574353E-002
 fi= -7.284457682326007E-002
 fi= -8.401898594183503E-002
 fi= -6.005905053513200E-002
 fi= -1.085093644242080E-002
 fi=  4.349334819177769E-002
 fi=  8.237409347344539E-002
 fi=  9.463480494887354E-002
 fi=  5.836952962195712E-002
 fi= -2.991135385813323E-003
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
 fi=  0.000000000000000E+000
